"company","ticker","fair_value","price","mkt_cap","shares","CEO"
"3M","MMM","39.18","101.74","61.70678828","606514530","William M. Brown"
"A. O. Smith","AOS","6.59","32.38","4.904416495","151464376","Stephen Shafer"
"Abbott Laboratories","ABT","119.19","34.87","51.22933139","1469152033","Robert B. Ford"
"AbbVie","ABBV","180.95","38.06","61.55666858","1617358607","Robert A. Michael"
"Accenture","ACN","107.79","97.84","79.53540176","812912937","Julie Sweet"
"Adobe Inc.","ADBE","105.7","93.8","46.91965551","500209547","Shantanu Narayen"
"Advanced Micro Devices","AMD","38.15","2.85","2.26005","793000000","Dr. Lisa Su"
"AES Corporation","AES","7.94","8.22","5.416960765","658997660","Andrés Gluski"
"Aflac","AFL","57.51","25.14","20.87640684","830406000","Dan Amos"
"Agilent Technologies","A","17.72","36.87","12.08488289","327770081","Padraig McDonnell"
"Air Products","APD","32.58","114.34","24.70672304","216081188","Eduardo F. Menezes"
"Akamai Technologies","AKAM","9.73","55.57","9.783110559","176050217","Dr. F. Thomson Leighton"
"Albemarle Corporation","ALB","6.65","56.12","6.30210764","112297000","J. Kent Masters"
"Alexandria Real Estate Equities","ARE","9.23","65.64","4.78341864","72873532","Peter M. Moglia"
"Align Technology","ALGN","7.79","72.69","5.82792075","80175000","Joseph M. Hogan"
"Allegion","ALLE","6.43","56.82","5.460254268","96097400","John H. Stone"
"Alliant Energy","LNT","7.28","27.36","6.214148263","227125302","Lisa M. Barton"
"Allstate","ALL","27.13","54.37","20.38875","375000000","Thomas J. Wilson (Tom Wilson)"
"Alphabet Inc.","GOOGL","1428.66","36.99","508.0887216","13735840000","Sundar Pichai"
"Altria","MO","110.4","32.94","64.49427399","1957931815","Billy Gifford (William F. Gifford, Jr.)"
"Amazon","AMZN","333.87","29.68","280.1792","9440000000","Andy Jassy"
"Ameren","AEE","12.14","37.61","9.124186","242600000","Martin J. Lyons Jr."
"American Electric Power","AEP","29.23","47.09","0.635691455","13499500","William J. ""Bill"" Fehrman"
"American Express","AXP","115.08","53.43","50.81193","951000000","Stephen J. Squeri"
"American International Group","AIG","16.72","42.68","48.25991316","1130738359","Peter Zaffino"
"American Tower","AMT","27.89","80.9","34.3471471","424563005","Steven Vondran"
"American Water Works","AWK","11.63","57.13","10.36384544","181408112","John Griffith"
