cik,company,ticker,market_cap_usd_billion,gics_sector,gics_sub_industry,headquarters,founded,research,passes
1018724,Amazon,AMZN,2506.000433152,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1994,"{'screening_result': ""Amazon's retail business is highly transportation-dependent, with billions in shipping and fulfillment costs. Analysts have specifically noted that Amazon's profits can be 'hammered' by higher gas and diesel prices, as the costs to power its vast logistics network rise significantly [1018724_1, 1018724_2]."", 'passes': ""Amazon's retail business is highly transportation-dependent, with billions in shipping and fulfillment costs. Analysts have specifically noted that Amazon's profits can be 'hammered' by higher gas and diesel prices, as the costs to power its vast logistics network rise significantly [1018724_1, 1018724_2].""}",True
1067983,Berkshire Hathaway,BRK.B,1090.0,Financials,"Multi-Sector Holdings, Insurance","Omaha, Nebraska",1839,"{'screening_result': 'Berkshire Hathaway owns BNSF Railway, one of the largest consumers of diesel fuel in the United States. While BNSF employs fuel surcharges, they typically lag behind price increases and do not always recover the full cost, leading to margin pressure in the railroad segment during rapid oil price spikes (Criterion 2). Additionally, its various manufacturing subsidiaries (e.g., in the chemicals and building products space) are sensitive to energy input costs. Consolidated margins can be negatively impacted by high energy prices due to these heavy industrial and transportation holdings.', 'passes': 'Berkshire Hathaway owns BNSF Railway, one of the largest consumers of diesel fuel in the United States. While BNSF employs fuel surcharges, they typically lag behind price increases and do not always recover the full cost, leading to margin pressure in the railroad segment during rapid oil price spikes (Criterion 2). Additionally, its various manufacturing subsidiaries (e.g., in the chemicals and building products space) are sensitive to energy input costs. Consolidated margins can be negatively impacted by high energy prices due to these heavy industrial and transportation holdings.'}",True
104169,Walmart,WMT,897.078853632,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1962,"{'screening_result': ""Walmart is a massive retailer with a highly transportation-dependent supply chain. Historically, Walmart has experienced margin compression during oil price spikes; for instance, in 2022, higher fuel and online delivery costs were cited as a primary driver for gross margin falling by 38 basis points. As a 'low-price' leader, Walmart often absorbs these costs rather than passing them fully to consumers to maintain market share."", 'passes': ""Walmart is a massive retailer with a highly transportation-dependent supply chain. Historically, Walmart has experienced margin compression during oil price spikes; for instance, in 2022, higher fuel and online delivery costs were cited as a primary driver for gross margin falling by 38 basis points. As a 'low-price' leader, Walmart often absorbs these costs rather than passing them fully to consumers to maintain market share.""}",True
909832,Costco,COST,408.899190784,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976,"{'screening_result': 'Costco (COST) experience margin compression during oil price spikes primarily through its gasoline business. Rising gasoline prices typically help top-line sales but hurt profits as there is often a lag in passing through higher wholesale costs to members to maintain its value proposition (https://www.cnn.com/2021/11/20/business/gas-prices-costco-walmart-bjs). High fuel prices also increase the cost of its extensive global supply chain.', 'passes': 'Costco (COST) experience margin compression during oil price spikes primarily through its gasoline business. Rising gasoline prices typically help top-line sales but hurt profits as there is often a lag in passing through higher wholesale costs to members to maintain its value proposition (https://www.cnn.com/2021/11/20/business/gas-prices-costco-walmart-bjs). High fuel prices also increase the cost of its extensive global supply chain.'}",True
21344,Coca-Cola Company (The),KO,304.140156928,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1886,"{'screening_result': ""Coca-Cola's margins are negatively impacted by oil prices through two main channels: packaging and distribution. A significant portion of its packaging is PET resin, which is oil-derived. Furthermore, its massive global distribution network is highly sensitive to fuel costs. Industry analysis identifies oil as a primary driver of cost increases for PET resin and freight."", 'passes': ""Coca-Cola's margins are negatively impacted by oil prices through two main channels: packaging and distribution. A significant portion of its packaging is PET resin, which is oil-derived. Furthermore, its massive global distribution network is highly sensitive to fuel costs. Industry analysis identifies oil as a primary driver of cost increases for PET resin and freight.""}",True
63908,McDonald's,MCD,214.595125248,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940,"{'screening_result': ""McDonald's is a consumer discretionary restaurant chain. It faces negative margin pressure from rising oil prices through two channels: increased transportation and energy costs for its global supply chain, and reduced consumer discretionary spending as higher gas prices eat into household budgets. Historical analyst commentary notes that rising oil prices affect transportation and energy costs, pressuring profitability. While it has pricing power, significant spikes have historically correlated with margin pressure."", 'passes': ""McDonald's is a consumer discretionary restaurant chain. It faces negative margin pressure from rising oil prices through two channels: increased transportation and energy costs for its global supply chain, and reduced consumer discretionary spending as higher gas prices eat into household budgets. Historical analyst commentary notes that rising oil prices affect transportation and energy costs, pressuring profitability. While it has pricing power, significant spikes have historically correlated with margin pressure.""}",True
1744489,Walt Disney Company (The),DIS,188.477407232,Communication Services,Movies & Entertainment,"Burbank, California",1923,"{'screening_result': ""The Walt Disney Company's profit margins are negatively impacted by high oil prices through its Experiences segment, which includes theme parks and its cruise line. Disney Cruise Line is directly fuel-intensive, and fuel cost spikes directly compress operating margins. Additionally, theme park attendance is sensitive to gas prices (for drive-to guests) and airfares (for fly-to guests), which can lead to lower volumes and pricing pressure during oil spikes."", 'passes': ""The Walt Disney Company's profit margins are negatively impacted by high oil prices through its Experiences segment, which includes theme parks and its cruise line. Disney Cruise Line is directly fuel-intensive, and fuel cost spikes directly compress operating margins. Additionally, theme park attendance is sensitive to gas prices (for drive-to guests) and airfares (for fly-to guests), which can lead to lower volumes and pricing pressure during oil spikes.""}",True
1543151,Uber,UBER,182.620110848,Industrials,Passenger Ground Transportation,"San Francisco, California",2009,"{'screening_result': ""Uber's core business of ride-hailing and delivery is heavily dependent on fuel prices. While drivers are independent contractors who pay for their own fuel, high oil prices force Uber to implement fuel surcharges or increase driver incentives to maintain supply, both of which can compress Uber's net take rate and margins. Furthermore, higher prices for consumers (due to surcharges) can lead to lower ride volumes, negatively impacting overall profitability."", 'passes': ""Uber's core business of ride-hailing and delivery is heavily dependent on fuel prices. While drivers are independent contractors who pay for their own fuel, high oil prices force Uber to implement fuel surcharges or increase driver incentives to maintain supply, both of which can compress Uber's net take rate and margins. Furthermore, higher prices for consumers (due to surcharges) can lead to lower ride volumes, negatively impacting overall profitability.""}",True
732712,Verizon,VZ,171.229036544,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983 (1877),"{'screening_result': ""Verizon Communications operates one of the largest private vehicle fleets in the U.S. to maintain its network infrastructure. Research and analyst reports indicate that 'steep fuel costs' can cause operating expenses to soar, negatively impacting operating margins. While it has some pricing power, the scale of its fleet operations makes it sensitive to oil price spikes."", 'passes': ""Verizon Communications operates one of the largest private vehicle fleets in the U.S. to maintain its network infrastructure. Research and analyst reports indicate that 'steep fuel costs' can cause operating expenses to soar, negatively impacting operating margins. While it has some pricing power, the scale of its fleet operations makes it sensitive to oil price spikes.""}",True
109198,TJX Companies,TJX,167.364657152,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987,"{'screening_result': 'TJX Companies (the parent of T.J. Maxx) specifically identifies in its SEC filings that increases in the price of oil increase transportation costs for distribution and utility costs for stores, which can adversely affect results. As a retailer with a complex global supply chain and low-price model, it is sensitive to fuel cost spikes that squeeze margins.', 'passes': 'TJX Companies (the parent of T.J. Maxx) specifically identifies in its SEC filings that increases in the price of oil increase transportation costs for distribution and utility costs for stores, which can adversely affect results. As a retailer with a complex global supply chain and low-price model, it is sensitive to fuel cost spikes that squeeze margins.'}",True
