cik,company,ticker,market_cap_usd_billion,gics_sector,gics_sub_industry,headquarters,founded,research,passes
1341439,Oracle Corporation,ORCL,573.294444544,Information Technology,Application Software,"Austin, Texas",1977,"{'screening_result': 'Oracle Corporation (ORCL) has a high-quality recurring revenue model, with Cloud services and license support representing 77% of fiscal 2025 revenue. It is a strategic beneficiary of Taiwan tensions due to its increasing role as a defense cloud contractor; it was awarded a portion of the Pentagon\'s JWCC contract and has launched a ""Defense Ecosystem"" to support US and allied national security. Its China revenue is a small percentage of its total (part of Asia Pacific, which is 12-13% total), and it is not dependent on Taiwan manufacturing.', 'passes': 'Oracle Corporation (ORCL) has a high-quality recurring revenue model, with Cloud services and license support representing 77% of fiscal 2025 revenue. It is a strategic beneficiary of Taiwan tensions due to its increasing role as a defense cloud contractor; it was awarded a portion of the Pentagon\'s JWCC contract and has launched a ""Defense Ecosystem"" to support US and allied national security. Its China revenue is a small percentage of its total (part of Asia Pacific, which is 12-13% total), and it is not dependent on Taiwan manufacturing.'}",True
1321655,Palantir Technologies,PLTR,406.828744704,Information Technology,Application Software,"Denver, Colorado",2003,"{'screening_result': ""Palantir Technologies operates a high-quality software-as-a-service (SaaS) model with nearly 100% of revenue derived from long-term government and commercial contracts. It is a major beneficiary of escalating tensions as a leading defense and intelligence software provider for the US and its allies. It generates zero/limited revenue from China and its software-based model has minimal direct dependency on Taiwan hardware manufacturing compared to chipmakers. Its CEO has explicitly stated the company's focus on Western national security."", 'passes': ""Palantir Technologies operates a high-quality software-as-a-service (SaaS) model with nearly 100% of revenue derived from long-term government and commercial contracts. It is a major beneficiary of escalating tensions as a leading defense and intelligence software provider for the US and its allies. It generates zero/limited revenue from China and its software-based model has minimal direct dependency on Taiwan hardware manufacturing compared to chipmakers. Its CEO has explicitly stated the company's focus on Western national security.""}",True
1283699,T-Mobile US,TMUS,236.484296704,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994,"{'screening_result': 'T-Mobile US has a high-quality recurring revenue model, with service revenue (subscriptions) representing nearly 100% of its core business. As a domestic US wireless provider, it is a key component of critical national infrastructure. It would benefit from the strategic prioritization of secure, US-controlled telecom networks and faces minimal risk from China-based revenue or manufacturing dependency compared to peers.', 'passes': 'T-Mobile US has a high-quality recurring revenue model, with service revenue (subscriptions) representing nearly 100% of its core business. As a domestic US wireless provider, it is a key component of critical national infrastructure. It would benefit from the strategic prioritization of secure, US-controlled telecom networks and faces minimal risk from China-based revenue or manufacturing dependency compared to peers.'}",True
1108524,Salesforce,CRM,224.382763008,Information Technology,Application Software,"San Francisco, California",1999,"{'screening_result': 'Salesforce is a pure-play SaaS company with >90% recurring revenue. It would benefit from Taiwan tensions as companies accelerate digital transformation and reshoring initiatives (which require robust CRM and data management). Importantly, Salesforce has proactively ""siloed"" its China operations and limited its presence there, reducing risk, while serving as a critical tool for U.S. domestic and ally-based industrial strategies. Sources: https://investor.salesforce.com/news/news-details/2025/Salesforce-Announces-Fourth-Quarter-and-Fiscal-Year-2025-Results/default.aspx; https://www.wsj.com/world/asia/companies-try-new-strategy-to-stay-in-china-siloing-61c88721', 'passes': 'Salesforce is a pure-play SaaS company with >90% recurring revenue. It would benefit from Taiwan tensions as companies accelerate digital transformation and reshoring initiatives (which require robust CRM and data management). Importantly, Salesforce has proactively ""siloed"" its China operations and limited its presence there, reducing risk, while serving as a critical tool for U.S. domestic and ally-based industrial strategies. Sources: https://investor.salesforce.com/news/news-details/2025/Salesforce-Announces-Fourth-Quarter-and-Fiscal-Year-2025-Results/default.aspx; https://www.wsj.com/world/asia/companies-try-new-strategy-to-stay-in-china-siloing-61c88721'}",True
1393818,Blackstone Inc.,BX,180.058619904,Financials,Asset Management & Custody Banks,"New York City, New York",1985,"{'screening_result': 'Blackstone generates the vast majority of its earnings from management and advisory fees (Fee-Related Earnings), which are highly recurring and based on long-term capital commitments. As a major investor in energy security, domestic infrastructure, and digital infrastructure (data centers), it is a prime beneficiary of reshoring and the strategic shift toward domestic resilience triggered by Taiwan-China tensions. Sources: https://www.blackstone.com/wp-content/uploads/sites/2/2025/01/Blackstone4Q24EarningsPressRelease.pdf; https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/kpmg-2025-futures-report.pdf', 'passes': 'Blackstone generates the vast majority of its earnings from management and advisory fees (Fee-Related Earnings), which are highly recurring and based on long-term capital commitments. As a major investor in energy security, domestic infrastructure, and digital infrastructure (data centers), it is a prime beneficiary of reshoring and the strategic shift toward domestic resilience triggered by Taiwan-China tensions. Sources: https://www.blackstone.com/wp-content/uploads/sites/2/2025/01/Blackstone4Q24EarningsPressRelease.pdf; https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/kpmg-2025-futures-report.pdf'}",True
753308,NextEra Energy,NEE,176.147136512,Utilities,Multi-Utilities,"Juno Beach, Florida",1984 (1925),"{'screening_result': ""NextEra Energy has highly stable recurring revenue through its utility (FPL) and long-term renewable energy contracts (NextEra Energy Resources). It is a major beneficiary of reshoring and the 'CHIPS Act' ecosystem because the massive increase in US-based semiconductor fabrication and AI data centers requires enormous amounts of new, reliable power. Analysts explicitly cite reshoring and the industrial electrification of the US as key demand drivers for NextEra. Its operations are entirely domestic, minimizing China risk. Sources: [https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2025-11/f25_NEE.pdf, https://www.robeco.com/en-hk/insights/2025/11/power-demand-is-surging-who-will-benefit-from-a-new-electricity-supercycle, https://www.investor.nexteraenergy.com/~/media/Files/N/NEE-IR/Sustainability/2024%20Sustainability/NextEra%20Energy%20Sustainability%20Report%202024.pdf]"", 'passes': ""NextEra Energy has highly stable recurring revenue through its utility (FPL) and long-term renewable energy contracts (NextEra Energy Resources). It is a major beneficiary of reshoring and the 'CHIPS Act' ecosystem because the massive increase in US-based semiconductor fabrication and AI data centers requires enormous amounts of new, reliable power. Analysts explicitly cite reshoring and the industrial electrification of the US as key demand drivers for NextEra. Its operations are entirely domestic, minimizing China risk. Sources: [https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2025-11/f25_NEE.pdf, https://www.robeco.com/en-hk/insights/2025/11/power-demand-is-surging-who-will-benefit-from-a-new-electricity-supercycle, https://www.investor.nexteraenergy.com/~/media/Files/N/NEE-IR/Sustainability/2024%20Sustainability/NextEra%20Energy%20Sustainability%20Report%202024.pdf]""}",True
1373715,ServiceNow,NOW,171.59553024,Information Technology,Systems Software,"Santa Clara, California",2003,"{'screening_result': 'ServiceNow has extremely high recurring revenue, with approximately 97% of its total revenue coming from subscriptions. It is a beneficiary of US-China tensions as its platform is critical for digital transformation, cybersecurity, and US federal government infrastructure; its public sector business grew 30% in early 2025. It has low exposure to China (Asia Pacific accounts for only ~11% of revenue total).', 'passes': 'ServiceNow has extremely high recurring revenue, with approximately 97% of its total revenue coming from subscriptions. It is a beneficiary of US-China tensions as its platform is critical for digital transformation, cybersecurity, and US federal government infrastructure; its public sector business grew 30% in early 2025. It has low exposure to China (Asia Pacific accounts for only ~11% of revenue total).'}",True
64040,S&P Global,SPGI,149.966405632,Financials,Financial Exchanges & Data,"New York City, New York",1917,"{'screening_result': 'S&P Global maintains exceptionally high recurring revenue, with approximately 96.5% of Market Intelligence and over 80-90% of total revenue derived from subscriptions and long-term contracts. As a dominant provider of credit ratings and financial data, it would benefit from the increased market volatility and the strategic shift towards US-centric financial security and sovereign risk assessment. Its China-specific revenue is a small fraction of its global business, and it serves as a critical infrastructure provider for global capital markets.', 'passes': 'S&P Global maintains exceptionally high recurring revenue, with approximately 96.5% of Market Intelligence and over 80-90% of total revenue derived from subscriptions and long-term contracts. As a dominant provider of credit ratings and financial data, it would benefit from the increased market volatility and the strategic shift towards US-centric financial security and sovereign risk assessment. Its China-specific revenue is a small fraction of its global business, and it serves as a critical infrastructure provider for global capital markets.'}",True
1327567,Palo Alto Networks,PANW,129.874640896,Information Technology,Systems Software,"Santa Clara, California",2005,"{'screening_result': 'Palo Alto Networks has a high-quality recurring revenue model with subscription and support revenue reaching approximately 80% of total revenue in 2025. It is a major beneficiary of increased cybersecurity needs stemming from geopolitical tensions. It has minimal direct revenue exposure to China (APAC as a whole is ~12%, with China not being a major focus for US cybersecurity firms due to restrictions).', 'passes': 'Palo Alto Networks has a high-quality recurring revenue model with subscription and support revenue reaching approximately 80% of total revenue in 2025. It is a major beneficiary of increased cybersecurity needs stemming from geopolitical tensions. It has minimal direct revenue exposure to China (APAC as a whole is ~12%, with China not being a major focus for US cybersecurity firms due to restrictions).'}",True
1535527,CrowdStrike,CRWD,129.630871552,Information Technology,Systems Software,"Austin, Texas",2011,"{'screening_result': 'CrowdStrike (CRWD) has an annual recurring revenue (ARR) model exceeding 95% of total sales. It is a major beneficiary of US-China tensions as state-sponsored cyberattacks from China targeting Taiwan and US infrastructure drive increased demand for its Falcon platform. It has minimal exposure to China and is a critical security partner for the US government and enterprises.', 'passes': 'CrowdStrike (CRWD) has an annual recurring revenue (ARR) model exceeding 95% of total sales. It is a major beneficiary of US-China tensions as state-sponsored cyberattacks from China targeting Taiwan and US infrastructure drive increased demand for its Falcon platform. It has minimal exposure to China and is a critical security partner for the US government and enterprises.'}",True
