fund_name,aum_millions,investment_focus,website_summary,score,team_size_estimate,research,include
Tiny Ventures GP,28,Pre-seed and seed venture,Solo GP backing technical founders. Hands-on support.,85,1,"{'score': ""The score is based on the fund's description as a 'Solo GP' in 'Pre-seed and seed venture' with 'Hands-on support'. Early-stage venture capital is fundamentally research-intensive, requiring deep dives into founders, technology, and markets without the aid of large-scale quantitative data. Solo GPs represent the 'smaller teams that need to punch above their weight' category mentioned in the high-score criteria. The focus on 'technical founders' suggests a need for specialized research tools to evaluate complex products."", 'team_size_estimate': ""The fund is explicitly described as a 'Solo GP' in the website summary and research notes, which refers to a single General Partner managing the fund. In the context of early-stage venture capital, a solo GP typically operates as a team of one for investment decision-making."", 'screening_result': 'Included with High priority as it meets both criteria: a high research tool adoption score (85 >= 70) and a very small team size (1 <= 5). This solo GP model represents an ideal target for research tools [c59d2f0c-beb7-5217-84bc-9b6a412f960e].', 'include': 'Included with High priority as it meets both criteria: a high research tool adoption score (85 >= 70) and a very small team size (1 <= 5). This solo GP model represents an ideal target for research tools [c59d2f0c-beb7-5217-84bc-9b6a412f960e].'}",True
Family Office Alpha,95,Multi-asset family office,Small team managing family wealth. Looking for good research sources.,85,2,"{'score': ""The fund is a small family office team ($95M AUM) that explicitly states they are 'looking for good research sources.' This aligns with the 'High' score criteria for smaller teams needing to punch above their weight and expressing a need for research edge/differentiation. The multi-asset focus also suggests a broad need for various tools. Info derived from input description."", 'team_size_estimate': ""Family Office Alpha is described as a 'small team' managing $95M AUM with a multi-asset focus. At under $100M AUM, family offices are often lean, frequently consisting of 1-3 investment professionals (e.g., a CIO and 1-2 analysts). The explicit mention of being a 'small team' and 'looking for research sources' suggests they outsource or rely on external ideas rather than a large internal staff. The estimate of 2 represents the midpoint of the 'small operation' range (1-3)."", 'screening_result': 'Included with High priority. As a small family office team (2 <= 5) explicitly seeking research sources with a high score (85 >= 70), it is an ideal target [11350b2c-973b-557d-b934-79cc079bfecf].', 'include': 'Included with High priority. As a small family office team (2 <= 5) explicitly seeking research sources with a high score (85 >= 70), it is an ideal target [11350b2c-973b-557d-b934-79cc079bfecf].'}",True
Boutique Micro Fund,45,Micro-cap special situations,Two-person team finding hidden gems in micro-caps. We do all our own research.,95,2,"{'score': ""The Boutique Micro Fund is a highly research-intensive entity with a two-person team focusing on micro-cap special situations. According to the input data, they emphasize proprietary research ('We do all our own research') and search for 'hidden gems,' which aligns with the criteria for high likelihood to adopt new research tools (70-100). The small team size specifically fits the profile of a firm needing to 'punch above its weight' through tool adoption. A score of 95 reflects their intense focus on primary research and limited human bandwidth."", 'team_size_estimate': ""The website summary explicitly states that the fund is a 'Two-person team.' This is consistent with its small AUM of $45 million and 'solo/small GP' profile."", 'screening_result': 'The fund has a research score of 95 (>= 70) and a team size of 2 (<= 5). Since it meets both criteria, it is included with HIGH priority. Data sourced from internal artifact descriptions.', 'include': 'The fund has a research score of 95 (>= 70) and a team size of 2 (<= 5). Since it meets both criteria, it is included with HIGH priority. Data sourced from internal artifact descriptions.'}",True
Nano Cap Hunters,62,Nano-cap equities under $50M market cap,Three analysts covering the smallest public companies. We need every research edge.,95,3,"{'score': ""The fund is scored 95 because it exemplifies the 'HIGH scores' criteria: it has a very small team (three analysts), focuses on highly under-researched 'Nano-cap' stocks requiring deep-dive primary research, and explicitly states a 'need for every research edge'. With only $62M AUM, they fit the 'smaller teams that need to punch above their weight' description perfectly."", 'team_size_estimate': ""The website summary explicitly mentions 'Three analysts covering the smallest public companies.' The research notes further clarify that the fund has a 'very small team (three analysts)'. Based on this direct mention, the investment team size is estimated at 3."", 'screening_result': 'Included with High priority. It perfectly matches both criteria with a very high adoption score (95) and a small team of 3 analysts [54bd4e88-ab29-5b60-a3c7-71534ea3914b].', 'include': 'Included with High priority. It perfectly matches both criteria with a very high adoption score (95) and a small team of 3 analysts [54bd4e88-ab29-5b60-a3c7-71534ea3914b].'}",True
Greenfield Research Fund,320,Small-cap fundamental analysis,Intensive primary research on overlooked small caps. We visit every company we invest in.,92,4,"{'score': ""The fund focuses on intensive primary research and site visits for overlooked small caps. This fits the 'High' score criteria for primary research and fundamental analysis. Its AUM of $320M suggests a smaller team needing to punch above its weight in a niche market."", 'team_size_estimate': ""The estimate is based on industry benchmarks for fundamental small-cap funds. A $320M AUM fund focusing on 'intensive primary research' and 'visiting every company' requires a higher analyst-to-AUM ratio than average. Typically, such boutique shops consist of 1-2 Portfolio Managers and 2-3 Analysts, totaling approximately 4 investment professionals. This aligns with the 'small operation' range of 1-3 being common for even smaller funds, adjusted slightly upward for the labor-intensive nature of the research strategy described."", 'screening_result': 'Included with High priority. The fund meets both the score threshold (92 >= 70) and the team size threshold (4 <= 5) [74fb6571-4f5b-5a54-9cbc-a2493f237892].', 'include': 'Included with High priority. The fund meets both the score threshold (92 >= 70) and the team size threshold (4 <= 5) [74fb6571-4f5b-5a54-9cbc-a2493f237892].'}",True
Deep Dive Capital,520,"Concentrated positions, 18-month holding period",We spend 6 months researching each position. Our analysts produce 100-page reports.,95,5,"{'score': ""The fund describes an extremely intensive research process, spending 6 months per position and producing 100-page reports. This aligns with the 'High' score criteria for manual, deep-dive fundamental analysis and proprietary research. The AUM of $520M suggests a smaller, specialized team."", 'team_size_estimate': ""The estimate is based on the fund's 'High' intensity research score (6 months per position, 100-page reports) and its AUM of $520M. According to industry benchmarks for emerging managers, firms with AUM up to $500M typically employ around 10-12 total staff members [Marex/AIMA Emerging Managers Report 2024]. Given the concentrated strategy (holding positions for 18 months), the investment team (analysts and PMs) likely comprises a subset of the total staff, typically 4-6 professionals. A midpoint of 5 is chosen."", 'screening_result': 'Included with High priority. The fund meets both criteria: a score of 95 (>= 70) and a team size of 5 (<= 5) [210aae0b-d95f-5711-b61a-8b2d9342b8d6].', 'include': 'Included with High priority. The fund meets both criteria: a score of 95 (>= 70) and a team size of 5 (<= 5) [210aae0b-d95f-5711-b61a-8b2d9342b8d6].'}",True
ESG Impact Capital,680,ESG-focused public equities,Proprietary ESG scoring using alternative data. We analyze sustainability reports.,88,6,"{'score': ""The fund explicitly mentions proprietary ESG scoring and the manual analysis of sustainability reports in its summary. This aligns with the 'High' criteria of emphasizing proprietary/primary research and reading documents/reports manually. Its focus on ESG public equities typically requires deep-dive fundamental analysis of non-financial data to find an edge."", 'team_size_estimate': ""The estimate is based on the fund's AUM of $680 million and its research-intensive strategy (manual analysis of sustainability reports and proprietary ESG scoring). For fundamental public equity boutiques of this size, a typical team consists of 5 to 8 investment professionals (e.g., 2-3 partners and 3-5 analysts). The midpoint of this range is 6.5, rounded to 6 for a conservative estimate or 7 for a more research-heavy operation; I have selected 6 as a representative figure for a boutique of this scale."", 'screening_result': ""Included based on high adoption score (88 >= 70), which outweighs the team size of 6 investment professionals. The priority is Medium because only the score criterion is met. Data sourced from internal analysis of the fund's strategy and team structure [88b34bcf-2e52-5c10-a031-23375f56faa8]."", 'include': ""Included based on high adoption score (88 >= 70), which outweighs the team size of 6 investment professionals. The priority is Medium because only the score criterion is met. Data sourced from internal analysis of the fund's strategy and team structure [88b34bcf-2e52-5c10-a031-23375f56faa8].""}",True
Quantum Value Partners,850,"Deep value, contrarian bets on out-of-favor sectors",We use proprietary research frameworks to identify mispriced assets. Our team publishes quarterly research notes.,85,8,"{'score': ""Based on the provided website summary and investment focus. The fund emphasizes proprietary research frameworks and publishes research notes, which aligns with the 'HIGH' score criteria for funds that use primary research and fundamental analysis [Input Artifact e9e80602-1933-51c8-b994-5054104b3bea]. The smaller AUM ($850M) also suggests a team that needs to differentiate through research edge."", 'team_size_estimate': ""Quantum Value Partners has $850M AUM and follows a 'deep value' strategy requiring proprietary research frameworks and quarterly notes. For a mid-sized fund (~$1B range) focused on fundamental research and 'contrarian bets', a team of roughly 5-10 investment professionals is typical. Given the specific mention of publishing 'quarterly research notes', a slightly more robust research desk is assumed, leading to an estimate of 8. This fits the range between very small operations (1-3) and larger funds (10-50+)."", 'screening_result': 'The fund has a research score of 85 (>= 70), meeting the first inclusion criterion. The team size is estimated at 8 (> 5). Since only the score criterion is met, it is included with MEDIUM priority. Data sourced from internal artifact descriptions.', 'include': 'The fund has a research score of 85 (>= 70), meeting the first inclusion criterion. The team size is estimated at 8 (> 5). Since only the score criterion is met, it is included with MEDIUM priority. Data sourced from internal artifact descriptions.'}",True
Artemis Long/Short,1200,Fundamental long/short equity,Bottom-up stock picking with extensive channel checks and expert network calls.,85,8,"{'score': ""The fund is scored 85 based on its focus on 'Fundamental long/short equity' and its reliance on 'bottom-up stock picking', 'extensive channel checks', and 'expert network calls'. These activities align with the 'HIGH scores' criteria for proprietary/primary research and research-intensive fundamental analysis strategies. The AUM of $1.2B suggests a established but still research-focused operation."", 'team_size_estimate': ""The estimate is based on the team structure of Artemis Investment Management, where specialized equity teams manage specific strategies. The fund in question, likely the Artemis US Extended Alpha (a fundamental long/short strategy), is managed by the US Equity team. This team is led by a Head of US Equities and includes several portfolio managers (e.g., Adrian Brass, James Dudgeon, William Warren) and supporting analysts. While the firm has 246 employees and ~30 partners in total, the specific investment teams for equity strategies of this AUM ($1.2B) and research intensity (extensive channel checks, expert networks) typically consist of 6-10 professionals. A midpoint of 8 reflects the balance between senior PMs and research analysts required for such a 'high-score' fundamental strategy. Cites: [Pitchbook Profile, Artemis Funds Lux US Extended Alpha profile, Morningstar Artemis High Income Team snippet]."", 'screening_result': 'The fund has a research score of 85 (>= 70), meeting the first inclusion criterion. However, the team size is 8 (> 5). Since only the score criterion is met, it is included with MEDIUM priority. Data sourced from internal artifact descriptions and external profile estimates.', 'include': 'The fund has a research score of 85 (>= 70), meeting the first inclusion criterion. However, the team size is 8 (> 5). Since only the score criterion is met, it is included with MEDIUM priority. Data sourced from internal artifact descriptions and external profile estimates.'}",True
Catalyst Event Partners,780,"Event-driven, merger arbitrage",We analyze M&A deals and corporate actions. Heavy use of data rooms and legal document analysis.,90,8,"{'score': ""Based on the provided website summary. The fund explicitly mentions 'heavy use of data rooms and legal document analysis' and an event-driven strategy, which fits the 'HIGH' score criteria for reading documents and filings manually to find an edge [Input Artifact 02f3533a-d14a-51d3-a343-2e6c467faa5f]. The $780M AUM suggests a boutique research-intensive approach."", 'team_size_estimate': ""For a specialized merger arbitrage fund with $780M AUM, the team size is estimated based on the complexity of legal document analysis and data room reviews. Industry data suggests that funds in the $500M-$1B AUM range average approximately 15-20 total employees [The Hedge Fund Journal, 'Making it Big']. The investment-specific team for an event-driven boutique is typically around 6-10 professionals. A midpoint of 8 is chosen."", 'screening_result': ""Included with Medium priority. The fund's heavy reliance on legal document analysis and data rooms results in a high adoption score (90 >= 70), meeting the inclusion threshold despite a team size of 8 [00f1d75a-07ed-50c6-9120-2ed35e2d51cc]."", 'include': ""Included with Medium priority. The fund's heavy reliance on legal document analysis and data rooms results in a high adoption score (90 >= 70), meeting the inclusion threshold despite a team size of 8 [00f1d75a-07ed-50c6-9120-2ed35e2d51cc].""}",True
