firm_name,aum_billions,strategy,description
Bridgewater Associates,120,"Global macro, systematic","World's largest hedge fund. Heavily systematic, proprietary research frameworks, 1,500+ employees."
Pershing Square,12,Concentrated activist,"Bill Ackman's fund. Deep fundamental research, takes large positions, very research-intensive."
Two Sigma,60,Quantitative,"Tech-driven quantitative fund. Uses ML and big data. In-house data science team builds everything."
ValueAct Capital,16,Activist value,"Takes board seats, conducts operational deep dives. Known for 2+ year research processes per position."
Renaissance Technologies,55,Quantitative,"Legendary quant fund. Medallion fund closed to outsiders. Pure math/physics approach."
Baupost Group,27,Value / distressed,"Seth Klarman's fund. Patient value investing, reads every document, known for thorough research."
AQR Capital,98,Factor investing,"Systematic factor strategies. Publishes academic research. Quantitative approach."
Elliott Management,56,Activist / distressed,"Paul Singer's fund. Legal and financial analysis for activism campaigns. Research-heavy."
Point72,24,Multi-strategy,"Steve Cohen's fund. Hundreds of PMs, fundamental research teams, data science division."
Lone Pine Capital,18,Long/short equity,"Tiger cub. Fundamental analysis, concentrated portfolio, known for deep company research."
Vanguard Index Funds,7000,Passive indexing,"Passive index tracking. No stock picking, minimal research needs beyond index construction."
Muddy Waters Research,0.5,Short-selling / research,"Carson Block's firm. Publishes forensic accounting research. Needs every research tool available."
Greenlight Capital,3,Value long/short,"David Einhorn's fund. Famous for detailed research presentations at conferences."
BlackRock Index,5000,Passive / ETFs,"ETF provider. Index tracking, systematic rebalancing. No fundamental research."
Third Point,15,Event-driven activist,"Dan Loeb's fund. Detailed research letters, activist campaigns require deep analysis."
