"cik","company","ticker","market_cap_usd_billion","gics_sector","gics_sub_industry","headquarters","founded"
"1045810","Nvidia","NVDA","4425.366110208","Information Technology","Semiconductors","Santa Clara, California","1993"
"320193","Apple Inc.","AAPL","4247.171104768","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1977"
"1652044","Alphabet Inc.(Class A)","GOOGL","3825.12922624","Communication Services","Interactive Media & Services","Mountain View, California","1998"
"1652044","Alphabet Inc.(Class C)","GOOG","3814.940737536","Communication Services","Interactive Media & Services","Mountain View, California","1998"
"789019","Microsoft","MSFT","3642.251542528","Information Technology","Systems Software","Redmond, Washington","1975"
"1018724","Amazon","AMZN","2506.000433152","Consumer Discretionary","Broadline Retail","Seattle, Washington","1994"
"1730168","Broadcom","AVGO","1801.912844288","Information Technology","Semiconductors","Palo Alto, California","1961"
"1326801","Meta Platforms","META","1631.033360384","Communication Services","Interactive Media & Services","Menlo Park, California","2004"
"1318605","Tesla, Inc.","TSLA","1427.57462016","Consumer Discretionary","Automobile Manufacturers","Austin, Texas","2003"
"1067983","Berkshire Hathaway","BRK.B","1090","Financials","Multi-Sector Holdings, Insurance","Omaha, Nebraska","1839"
"59478","Lilly (Eli)","LLY","937.801351168","Health Care","Pharmaceuticals","Indianapolis, Indiana","1876"
"104169","Walmart","WMT","897.078853632","Consumer Staples","Consumer Staples Merchandise Retail","Bentonville, Arkansas","1962"
"19617","JPMorgan Chase","JPM","846.594244608","Financials","Diversified Banks","New York City, New York","2000 (1799 / 1871)"
"1403161","Visa Inc.","V","639.77324544","Financials","Transaction & Payment Processing Services","San Francisco, California","1958"
"1341439","Oracle Corporation","ORCL","573.294444544","Information Technology","Application Software","Austin, Texas","1977"
"200406","Johnson & Johnson","JNJ","494.91738624","Health Care","Pharmaceuticals","New Brunswick, New Jersey","1886"
"1141391","Mastercard","MA","493.509083136","Financials","Transaction & Payment Processing Services","Harrison, New York","1966"
"34088","ExxonMobil","XOM","491.893424128","Energy","Integrated Oil & Gas","Irving, Texas","1999"
"1065280","Netflix","NFLX","463.351283712","Communication Services","Movies & Entertainment","Los Gatos, California","1997"
"909832","Costco","COST","408.899190784","Consumer Staples","Consumer Staples Merchandise Retail","Issaquah, Washington","1976"
"1321655","Palantir Technologies","PLTR","406.828744704","Information Technology","Application Software","Denver, Colorado","2003"
"1551152","AbbVie","ABBV","396.548079616","Health Care","Biotechnology","North Chicago, Illinois","2013 (1888)"
"70858","Bank of America","BAC","393.975529472","Financials","Diversified Banks","Charlotte, North Carolina","1998 (1923 / 1874)"
"354950","Home Depot (The)","HD","352.440942592","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1978"
"2488","Advanced Micro Devices","AMD","350.41968128","Information Technology","Semiconductors","Santa Clara, California","1969"
"80424","Procter & Gamble","PG","341.383184384","Consumer Staples","Personal Care Products","Cincinnati, Ohio","1837"
"40545","GE Aerospace","GE","306.806325248","Industrials","Aerospace & Defense","Evendale, Ohio","1892"
"21344","Coca-Cola Company (The)","KO","304.140156928","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Atlanta, Georgia","1886"
