cik,company,ticker,market_cap_usd_billion,gics_sector,gics_sub_industry,headquarters,founded,research,passes
1018724,Amazon,AMZN,2506.000433152,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1994,"{'screening_result': ""Amazon (AMZN) has massive exposure to transportation and logistics through its e-commerce fulfillment network. Rising oil prices directly increase the cost of fuel for its delivery fleet and air cargo operations. Analysts have noted that Amazon's retail margins are sensitive to these 'hammering' fuel costs, which are difficult to pass through entirely in a competitive retail environment. While AWS (cloud) is less affected, the overall company margin is negatively impacted by rising energy costs in its logistics operations."", 'passes': ""Amazon (AMZN) has massive exposure to transportation and logistics through its e-commerce fulfillment network. Rising oil prices directly increase the cost of fuel for its delivery fleet and air cargo operations. Analysts have noted that Amazon's retail margins are sensitive to these 'hammering' fuel costs, which are difficult to pass through entirely in a competitive retail environment. While AWS (cloud) is less affected, the overall company margin is negatively impacted by rising energy costs in its logistics operations.""}",True
104169,Walmart,WMT,897.078853632,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1962,"{'screening_result': 'Walmart has a massive global supply chain and extensive transportation/logistics operations. High fuel and diesel prices directly increase its operating costs. Historical earnings reports, such as from 2022, explicitly state that rising fuel and labor costs hurt their profit outlook and led to margin pressure. While it has some pricing power, its thin margins make it highly sensitive to fuel spikes.', 'passes': 'Walmart has a massive global supply chain and extensive transportation/logistics operations. High fuel and diesel prices directly increase its operating costs. Historical earnings reports, such as from 2022, explicitly state that rising fuel and labor costs hurt their profit outlook and led to margin pressure. While it has some pricing power, its thin margins make it highly sensitive to fuel spikes.'}",True
909832,Costco,COST,408.899190784,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976,"{'screening_result': ""Costco (COST) has heavy reliance on transportation and a low-margin retail model. Higher oil prices narrow its gross margins as it sells gasoline at thin margins and faces increased supply chain costs that it is slow to pass on to maintain its value proposition. Multiple sources confirm a negative correlation between high oil prices and Costco's profit margins (Criterion 2 and 5)."", 'passes': ""Costco (COST) has heavy reliance on transportation and a low-margin retail model. Higher oil prices narrow its gross margins as it sells gasoline at thin margins and faces increased supply chain costs that it is slow to pass on to maintain its value proposition. Multiple sources confirm a negative correlation between high oil prices and Costco's profit margins (Criterion 2 and 5).""}",True
80424,Procter & Gamble,PG,341.383184384,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1837,"{'screening_result': ""Procter & Gamble (P&G) uses significant amounts of oil-based materials (resins and chemicals) for packaging and ingredients. While P&G has strong brands, it has historically experienced gross margin compression during oil price spikes (e.g., 2011-2012, 2022) as there is often a lag between commodity cost increases and the implementation of price hikes. Management frequently cites 'higher commodity costs' including resin and energy as a primary driver of margin erosion."", 'passes': ""Procter & Gamble (P&G) uses significant amounts of oil-based materials (resins and chemicals) for packaging and ingredients. While P&G has strong brands, it has historically experienced gross margin compression during oil price spikes (e.g., 2011-2012, 2022) as there is often a lag between commodity cost increases and the implementation of price hikes. Management frequently cites 'higher commodity costs' including resin and energy as a primary driver of margin erosion.""}",True
21344,Coca-Cola Company (The),KO,304.140156928,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1886,"{'screening_result': ""The Coca-Cola Company is sensitive to oil prices primarily through its packaging and distribution costs. PET plastic, used in many of its bottles, is a petrochemical product whose price correlates with oil. Additionally, the company's extensive global distribution network is affected by fuel costs. Its 10-K filings explicitly mention exposure to PET and fuel price risks as factors that can impact margins."", 'passes': ""The Coca-Cola Company is sensitive to oil prices primarily through its packaging and distribution costs. PET plastic, used in many of its bottles, is a petrochemical product whose price correlates with oil. Additionally, the company's extensive global distribution network is affected by fuel costs. Its 10-K filings explicitly mention exposure to PET and fuel price risks as factors that can impact margins.""}",True
101829,RTX Corporation,RTX,226.322317312,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922,"{'screening_result': 'RTX Corporation (RTX) is an aerospace and defense company. Its commercial aerospace segment (Pratt & Whitney) is sensitive to oil prices because higher fuel costs reduce airline profitability, leading to lower demand for engine maintenance, parts, and new aircraft (Criterion 1 and 3). Historical data and analyst reports confirm that fluctuations in crude oil prices impact the financial performance of its commercial divisions.', 'passes': 'RTX Corporation (RTX) is an aerospace and defense company. Its commercial aerospace segment (Pratt & Whitney) is sensitive to oil prices because higher fuel costs reduce airline profitability, leading to lower demand for engine maintenance, parts, and new aircraft (Criterion 1 and 3). Historical data and analyst reports confirm that fluctuations in crude oil prices impact the financial performance of its commercial divisions.'}",True
63908,McDonald's,MCD,214.595125248,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940,"{'screening_result': ""McDonald's (MCD) is sensitive to oil prices through increased logistics and delivery costs (fuel surcharges on food distribution) and reduced consumer discretionary spending. Rising gas prices act like a tax on its core budget-conscious customer base, leading to lower traffic or trade-down behavior. Historically, restaurant margins have faced compression during oil price spikes due to the inability to immediately pass through all energy-linked cost increases."", 'passes': ""McDonald's (MCD) is sensitive to oil prices through increased logistics and delivery costs (fuel surcharges on food distribution) and reduced consumer discretionary spending. Rising gas prices act like a tax on its core budget-conscious customer base, leading to lower traffic or trade-down behavior. Historically, restaurant margins have faced compression during oil price spikes due to the inability to immediately pass through all energy-linked cost increases.""}",True
77476,PepsiCo,PEP,203.458576384,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1898,"{'screening_result': ""PepsiCo's operating margins are negatively impacted by higher commodity costs, specifically fuel, resin (for packaging), and transportation costs (Document ID: 75d79a). The company has documented substantial percentage-point impacts to operating profit across its beverage and food segments during periods of rising energy and packaging prices."", 'passes': ""PepsiCo's operating margins are negatively impacted by higher commodity costs, specifically fuel, resin (for packaging), and transportation costs (Document ID: 75d79a). The company has documented substantial percentage-point impacts to operating profit across its beverage and food segments during periods of rising energy and packaging prices.""}",True
1744489,Walt Disney Company (The),DIS,188.477407232,Communication Services,Movies & Entertainment,"Burbank, California",1923,"{'screening_result': ""The Walt Disney Company (DIS) faces direct margin pressure from higher oil prices through its Experiences segment, specifically Disney Cruise Line and resort transportation. Fuel costs are a major operating expense for cruise ships, often cited as 15-25% of operating costs in the industry. Additionally, Disney is highly sensitive to consumer discretionary spending; high gasoline prices act as a tax on consumers, reducing the frequency of theme park visits and travel-related spending. Disney's 10-K identifies fuel and commodity price volatility as a risk factor to operating results."", 'passes': ""The Walt Disney Company (DIS) faces direct margin pressure from higher oil prices through its Experiences segment, specifically Disney Cruise Line and resort transportation. Fuel costs are a major operating expense for cruise ships, often cited as 15-25% of operating costs in the industry. Additionally, Disney is highly sensitive to consumer discretionary spending; high gasoline prices act as a tax on consumers, reducing the frequency of theme park visits and travel-related spending. Disney's 10-K identifies fuel and commodity price volatility as a risk factor to operating results.""}",True
1543151,Uber,UBER,182.620110848,Industrials,Passenger Ground Transportation,"San Francisco, California",2009,"{'screening_result': ""Uber's business model is highly dependent on transportation costs. While drivers typically bear the direct cost of fuel, spikes in oil prices reduce driver supply and earnings, forcing Uber to increase driver incentives and surcharges, which can compress its own take-rate and margins. Furthermore, as a consumer discretionary service, higher fuel prices at the pump reduce disposable income, potentially lowering ride-hailing volumes. Historical reports indicate that rideshare drivers feel the impact of gas price hikes on their profit margins, which in turn pressures Uber's operational balance and cost structure. Additionally, price gouging regulations in certain jurisdictions can limit Uber's ability to fully pass on surges in costs to consumers during energy crises."", 'passes': ""Uber's business model is highly dependent on transportation costs. While drivers typically bear the direct cost of fuel, spikes in oil prices reduce driver supply and earnings, forcing Uber to increase driver incentives and surcharges, which can compress its own take-rate and margins. Furthermore, as a consumer discretionary service, higher fuel prices at the pump reduce disposable income, potentially lowering ride-hailing volumes. Historical reports indicate that rideshare drivers feel the impact of gas price hikes on their profit margins, which in turn pressures Uber's operational balance and cost structure. Additionally, price gouging regulations in certain jurisdictions can limit Uber's ability to fully pass on surges in costs to consumers during energy crises.""}",True
109198,TJX Companies,TJX,167.364657152,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987,"{'screening_result': 'TJX Companies explicitly states in its SEC filings (10-K) that an increase in the price of oil increases its transportation costs for distribution. As an off-price retailer with a complex global supply chain and frequent inventory turnover, it is highly dependent on freight. Higher fuel costs directly compress its merchandise margins as these costs are difficult to pass through entirely in the value-focused off-price segment.', 'passes': 'TJX Companies explicitly states in its SEC filings (10-K) that an increase in the price of oil increases its transportation costs for distribution. As an off-price retailer with a complex global supply chain and frequent inventory turnover, it is highly dependent on freight. Higher fuel costs directly compress its merchandise margins as these costs are difficult to pass through entirely in the value-focused off-price segment.'}",True
1075531,Booking Holdings,BKNG,166.4270336,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1996,"{'screening_result': 'Booking Holdings (BKNG) is an online travel provider. When oil prices rise, airlines face higher fuel costs and reduce discounts on bulk bookings, which directly hits the revenue margins of travel agents like BKNG. Furthermore, high oil prices dampen consumer travel demand (Criterion 3). Analyst commentary explicitly links rising fuel prices to hits on travel service revenue margins.', 'passes': 'Booking Holdings (BKNG) is an online travel provider. When oil prices rise, airlines face higher fuel costs and reduce discounts on bulk bookings, which directly hits the revenue margins of travel agents like BKNG. Furthermore, high oil prices dampen consumer travel demand (Criterion 3). Analyst commentary explicitly links rising fuel prices to hits on travel service revenue margins.'}",True
100885,Union Pacific Corporation,UNP,137.75568896,Industrials,Rail Transportation,"Omaha, Nebraska",1862,"{'screening_result': 'Union Pacific is a major railroad. Fuel is one of its largest operating expenses (Criteria 1 & 2). While the company uses fuel surcharges, these typically have a two-month lag (Criteria 5). Historical data shows that higher fuel prices negatively impact its operating ratio (margin) by over 100 basis points during periods of sharp increases because the surcharges do not immediately offset the higher costs.', 'passes': 'Union Pacific is a major railroad. Fuel is one of its largest operating expenses (Criteria 1 & 2). While the company uses fuel surcharges, these typically have a two-month lag (Criteria 5). Historical data shows that higher fuel prices negatively impact its operating ratio (margin) by over 100 basis points during periods of sharp increases because the surcharges do not immediately offset the higher costs.'}",True
60667,Lowe's,LOW,136.406573056,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959,"{'screening_result': ""Lowe's is a home improvement retailer with a high sensitivity to oil prices on two fronts: transportation/logistics costs for its extensive supply chain and consumer discretionary spending. Higher gas prices at the pump directly reduce the disposable income of its 'do-it-yourself' (DIY) customer base, which is more sensitive to economic shifts than professional contractors. Historical analysis and analyst commentary have noted that Lowe's often experiences margin compression and volume declines during periods of high oil prices as consumers pull back on non-essential home projects."", 'passes': ""Lowe's is a home improvement retailer with a high sensitivity to oil prices on two fronts: transportation/logistics costs for its extensive supply chain and consumer discretionary spending. Higher gas prices at the pump directly reduce the disposable income of its 'do-it-yourself' (DIY) customer base, which is more sensitive to economic shifts than professional contractors. Historical analysis and analyst commentary have noted that Lowe's often experiences margin compression and volume declines during periods of high oil prices as consumers pull back on non-essential home projects.""}",True
315189,Deere & Company,DE,126.825037824,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837,"{'screening_result': ""Deere & Company (DE) is an industrial manufacturer of agricultural machinery. Rising oil prices increase fuel and input costs for farmers, which reduces farm income and leads to lower demand for expensive equipment (Criterion 3). Additionally, high oil prices can negatively impact the profitability of corn-based ethanol, further hurting Deere's primary customer base. Historical data suggests Deere's profits and margins face pressure during periods of high energy costs."", 'passes': ""Deere & Company (DE) is an industrial manufacturer of agricultural machinery. Rising oil prices increase fuel and input costs for farmers, which reduces farm income and leads to lower demand for expensive equipment (Criterion 3). Additionally, high oil prices can negatively impact the profitability of corn-based ethanol, further hurting Deere's primary customer base. Historical data suggests Deere's profits and margins face pressure during periods of high energy costs.""}",True
927653,McKesson Corporation,MCK,103.201734656,Health Care,Health Care Distributors,"Irving, Texas",1833,"{'screening_result': 'McKesson operates a massive drug distribution network where fuel costs are a significant component of operating expenses. Small shifts in fuel costs can disproportionately impact profitability due to its high-volume, low-margin business model [Source: https://dcfmodeling.com/products/mck-swot-analysis?srsltid=AfmBOoqhQYdIk8XjV_Zcu0e7IHEIe66marjcGr7EXr8EjoUDwcXgvStU, https://advisortools.zacks.com/proxy/ResearchReport/MCK/report?d=20260105].', 'passes': 'McKesson operates a massive drug distribution network where fuel costs are a significant component of operating expenses. Small shifts in fuel costs can disproportionately impact profitability due to its high-volume, low-margin business model [Source: https://dcfmodeling.com/products/mck-swot-analysis?srsltid=AfmBOoqhQYdIk8XjV_Zcu0e7IHEIe66marjcGr7EXr8EjoUDwcXgvStU, https://advisortools.zacks.com/proxy/ResearchReport/MCK/report?d=20260105].'}",True
1164727,Newmont,NEM,99.387727872,Materials,Gold,"Denver, Colorado",1921,"{'screening_result': 'Newmont is the world\'s largest gold mining company. Mining is extremely energy-intensive, requiring massive amounts of diesel fuel for hauling trucks and heavy machinery. Newmont\'s 10-K filings explicitly state that energy costs account for approximately 20% of overall operating costs and that higher diesel prices directly decrease profit margins. As a price-taker for gold, Newmont cannot ""pass through"" energy cost increases to customers by raising gold prices, leading to direct margin compression when oil prices spike. Source: [Newmont 10-K, Forbes].', 'passes': 'Newmont is the world\'s largest gold mining company. Mining is extremely energy-intensive, requiring massive amounts of diesel fuel for hauling trucks and heavy machinery. Newmont\'s 10-K filings explicitly state that energy costs account for approximately 20% of overall operating costs and that higher diesel prices directly decrease profit margins. As a price-taker for gold, Newmont cannot ""pass through"" energy cost increases to customers by raising gold prices, leading to direct margin compression when oil prices spike. Source: [Newmont 10-K, Forbes].'}",True
