title,author
Alice's Adventures in Wonderland,Lewis Carroll
Wuthering Heights,Emily Brontë
A Christmas Carol,Charles Dickens
Hamlet,William Shakespeare
Emma,Jane Austen
A Tale of Two Cities,Charles Dickens
The Wonderful Wizard of Oz,L. Frank Baum
Sense and Sensibility,Jane Austen
Treasure Island,Robert Louis Stevenson
Macbeth,William Shakespeare
The Secret Garden,Frances Hodgson Burnett
Don Quijote de la Mancha,Miguel de Cervantes Saavedra
Madame Bovary,Gustave Flaubert
Great Expectations,Charles Dickens
A Midsummer Night's Dream,William Shakespeare
The Art of War,孙武
The Prince,Niccolò Machiavelli
Through the Looking-Glass,Lewis Carroll
The Wind in the Willows,Kenneth Grahame
La Divina Commedia,Dante Alighieri
Анна Каренина,Лев Толстой
The Hound of the Baskervilles,Arthur Conan Doyle
Julius Caesar,William Shakespeare
Jane Eyre,Charlotte Brontë
The Time Machine,H. G. Wells
Walden,Henry David Thoreau
Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle
Moby Dick,Herman Melville
Mansfield Park,Jane Austen
The Man Who Was Thursday,Gilbert Keith Chesterton
Les Trois Mousquetaires,Alexandre Dumas
The Mysterious Affair at Styles,Agatha Christie
Candide,Voltaire
Ὀδύσσεια,Όμηρος
Ethan Frome,Edith Wharton
Dubliners,James Joyce
Captains Courageous,Rudyard Kipling
The Railway Children,Edith Nesbit
King Solomon's Mines,H. Rider Haggard
Die Verwandlung,Franz Kafka
Kim,Rudyard Kipling
The Last of the Mohicans,James Fenimore Cooper
David Copperfield,Charles Dickens
My Ántonia,Willa Cather
The Old Curiosity Shop,Charles Dickens
Anne of Avonlea,Lucy Maud Montgomery
The Secret Adversary,Agatha Christie
A Portrait of the Artist as a Young Man,James Joyce
Richard III,William Shakespeare
The Prince and the Pauper,Mark Twain
Leaves of Grass,Walt Whitman
Moll Flanders,Daniel Defoe
Tess of the d'Urbervilles,Thomas Hardy
The Canterbury Tales,Geoffrey Chaucer
Riders of the Purple Sage,Zane Grey
Decamerone,Giovanni Boccaccio
Robinson Crusoe,Daniel Defoe
The House of Mirth,Edith Wharton
A Room with a View,E. M. Forster
All's Well That Ends Well,William Shakespeare
Uncle Tom's Cabin,Harriet Beecher Stowe
The Pilgrim's Progress,John Bunyan
The Autobiography of Benjamin Franklin,Benjamin Franklin
The Jungle,Upton Sinclair
The Jewel of Seven Stars,Bram Stoker
Tao te Ching,老子
The Battle of Life,Charles Dickens
War and Peace,Лев Толстой
Meditations,Marcus Aurelius
The Red Badge of Courage,Stephen Crane
The Moonstone,Wilkie Collins
Du côté de chez Swann,Marcel Proust
The Prisoner of Zenda,Anthony Hope
Dorothy and the Wizard in Oz,L. Frank Baum
O Pioneers!,Willa Cather
Ulysses,James Joyce
The Second Jungle Book,Rudyard Kipling
Goldsmith's The vicar of Wakefield,Oliver Goldsmith
The mystery of Edwin Drood,Charles Dickens
Jo's Boys,Louisa May Alcott
The Iron Heel,Jack London
Eight cousins,Louisa May Alcott
The Lost Princess of Oz,L. Frank Baum
The Scarlet Pimpernel,Emma Orczy
Flatland,Edwin Abbott Abbott
His Last Bow [8 stories],Arthur Conan Doyle
The Story of the Amulet,Edith Nesbit
The Invisible Man,H. G. Wells
The Complete Life and Adventures of Santa Claus,L. Frank Baum
La chartreuse de Parme,Stendhal
Women in Love,D. H. Lawrence
Pollyanna,Eleanor Hodgman Porter
Heart of Darkness,Joseph Conrad
Also sprach Zarathustra,Friedrich Nietzsche
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll
The Jungle Book,Rudyard Kipling
The Pickwick Papers,Charles Dickens
The Road to Oz,L. Frank Baum
Nineteen Eighty-Four,George Orwell
The Riddle of the Sands,Erskine Childers
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle
The Sea Fairies,L. Frank Baum
Les Misérables,Victor Hugo
To the Lighthouse,Virginia Woolf
The Club of Queer Trades,Gilbert Keith Chesterton
Greenmantle,John Buchan
"Villette, a novel",Charlotte Brontë
Little men,Louisa May Alcott
Baum's American Fairy Tales,L. Frank Baum
Lady Chatterley's Lover,D. H. Lawrence
The Happy Prince and other tales,Oscar Wilde
The Scarecrow of Oz,L. Frank Baum
This Side of Paradise,F. Scott Fitzgerald
Moonfleet,John Meade Falkner
Tik-Tok of Oz,L. Frank Baum
Rinkitink in Oz,L. Frank Baum
Ivanhoe,Sir Walter Scott
Mrs. Dalloway,Virginia Woolf
The Book of Tea,Okakura Kakuzō
Cranford,Elizabeth Cleghorn Gaskell
The Coral Island,Robert Michael Ballantyne
Phantastes,George MacDonald
A history of New York,Washington Irving
Howards End,E. M. Forster
As You Like It,William Shakespeare
Barchester Towers,Anthony Trollope
Voyage Out,Virginia Woolf
The White Company,Arthur Conan Doyle
The War of the Worlds,H. G. Wells
Manifest der Kommunistischen Partei,Karl Marx
The Napoleon of Notting Hill,Gilbert Keith Chesterton
Glinda of Oz,L. Frank Baum
The Importance of Being Earnest,Oscar Wilde
La dame aux camélias [novel],Alexandre Dumas fils
Confessions,Augustine of Hippo
Flower Fables,Louisa May Alcott
Silas Marner,George Eliot
Inferno,Dante Alighieri
Peter Pan,J. M. Barrie
The Chimes,Charles Dickens
Mr. Standfast,John Buchan
The Heritage of the Desert,Zane Grey
The History of Tom Jones,Henry Fielding
The Portrait of a Lady,Henry James
Metamorphoses,Lucius Apuleius
The Great God Pan,Arthur Machen
Le avventure di Pinocchio,Carlo Collodi
The Pathfinder,James Fenimore Cooper
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne
The Woman in White,Wilkie Collins
Allan Quatermain,H. Rider Haggard
The Golden Age,Kenneth Grahame
De la démocratie en Amérique,Alexis de Tocqueville
The House of the Seven Gables,Nathaniel Hawthorne
Bleak House,Charles Dickens
The Souls of Black Folk,W. E. B. Du Bois
Преступление и наказание,Фёдор Михайлович Достоевский
The Song of the Lark,Willa Cather
Babbitt,Sinclair Lewis
Of Human Bondage,William Somerset Maugham
Burning Daylight,Jack London
Le rouge et le noir,Stendhal
Much Ado About Nothing,William Shakespeare
The Prairie,James Fenimore Cooper
The moon and sixpence,William Somerset Maugham
The Woodlanders,Thomas Hardy
The Life and Adventures of Nicholas Nickleby,Charles Dickens
The Narrative of Arthur Gordon Pym,Edgar Allan Poe
White Fang,Jack London
Incidents in the Life of a Slave Girl,Harriet A. Jacobs
Vingt mille lieues sous les mers,Jules Verne
कामसूत्र,Vatsyāyana
Agnes Grey,Anne Brontë
The pioneers,James Fenimore Cooper
The Rainbow Trail,Zane Grey
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
The golden bough,James George Frazer
The uncommercial traveller,Charles Dickens
Two years before the mast,Richard Henry Dana
One of Ours,Willa Cather
Spirit of the Border,Zane Grey
An Old-Fashioned Girl,Louisa May Alcott
Herland,Charlotte Perkins Gilman
The Good Soldier,Ford Madox Ford
The Lone Star Ranger,Zane Grey
Barnaby Rudge,Charles Dickens
Kidnapped,Robert Louis Stevenson
"The sketch-book of Geoffrey Crayon, Esq",Washington Irving
"The Federalist, or, The New Constitution",Alexander Hamilton
"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance",William Morris
The Awakening,Kate Chopin
The Poison Belt,Arthur Conan Doyle
Lord Jim,Joseph Conrad
Desert Gold,Zane Grey
Erewhon,Samuel Butler
The Warden,Anthony Trollope
À rebours,Joris-Karl Huysmans
The Secret Agent,Joseph Conrad
An Arabian tale,William Beckford
Sons and Lovers,D. H. Lawrence
Little Lord Fauntleroy,Frances Hodgson Burnett
King John,William Shakespeare
Love's Labour's Lost,William Shakespeare
Where Angels Fear to Tread,E. M. Forster
The Elusive Pimpernel (Scarlet Pimpernel),Emma Orczy
Puck of Pook's Hill,Rudyard Kipling
The Grapes of Wrath,John Steinbeck
The Princess and the Goblin,George MacDonald
Whose Body?,Dorothy L. Sayers
The history of the great plague in London in the year 1665,Daniel Defoe
The Longest Journey,E. M. Forster
Our Mutual Friend,Charles Dickens
Framley Parsonage,Anthony Trollope
Rodney Stone,Arthur Conan Doyle
Jacob's Room,Virginia Woolf
Satyricon,Petronius
Cyrano de Bergerac,Edmond Rostand
A strange disappearance,Anna Katharine Green
Basil,Wilkie Collins
Little Dorrit,Charles Dickens
Dream days,Kenneth Grahame
Plain tales from the hills,Rudyard Kipling
Children of the Frost,Jack London
The Age of Innocence,Edith Wharton
The Black Robe,Wilkie Collins
Pollyanna Grows Up,Eleanor Hodgman Porter
Dombey and Son,Charles Dickens
The Age of Fable,Thomas Bulfinch
Measure for Measure,William Shakespeare
The Call of the Canyon,Zane Grey
Il Paradiso,Dante Alighieri
Φαίδων,Πλάτων
Martin Chuzzlewit,Charles Dickens
The Street of Seven Stars,Mary Roberts Rinehart
The Evil Shepherd,Edward Phillips Oppenheim
Of Mice and Men,John Steinbeck
The Enchanted Island of Yew,L. Frank Baum
Wildfire,Zane Grey
Memoirs of Fanny Hill,John Cleland
The Wouldbegoods,Edith Nesbit
Manon Lescaut,Abbé Prévost
David Balfour,Robert Louis Stevenson
Le roman du masque de fer,Alexandre Dumas
Идіотъ,Фёдор Михайлович Достоевский
Rights of Man,Thomas Paine
MAIN STREET,Sinclair Lewis
Manalive,Gilbert Keith Chesterton
I Will Repay,Emma Orczy
A Voyage to Arcturus,David Lindsay
"Maggie, a girl of the streets",Stephen Crane
Jurgen,James Branch Cabell
Trilby,George du Maurier
On the origin of species by means of natural selection,Charles Darwin
Rose in Bloom,Louisa May Alcott
Plays (36),William Shakespeare
Vingt ans apres̀,Alexandre Dumas
The Waves,Virginia Woolf
The great impersonation,Edward Phillips Oppenheim
Child of Storm,H. Rider Haggard
Charlotte Temple,Mrs. Susanna (Haswell) Rowson
À l'ombre des jeunes filles en fleurs,Marcel Proust
Far from the Madding Crowd,Thomas Hardy
The wood beyond the world,William Morris
Voskresenīe,Лев Толстой
Allan's Wife,H. Rider Haggard
El Dorado,Emma Orczy
Les confessions,Jean-Jacques Rousseau
Daisy Miller,Henry James
Cymbeline,William Shakespeare
The Ballad of Reading Gaol,Oscar Wilde
Les Liaisons dangereuses,Pierre Choderlos de Laclos
Salammbô,Gustave Flaubert
The Zeppelin's Passenger,Edward Phillips Oppenheim
Hospital Sketches,Louisa May Alcott
Sketches by Boz,Charles Dickens
A week on the Concord and Merrimack Rivers,Henry David Thoreau
Мастер и Маргарита,Михаил Афанасьевич Булгаков
American notes,Charles Dickens
The Ambassadors,Henry James
"Right Ho, Jeeves",P. G. Wodehouse
Alexander's Bridge,Willa Cather
Tarzan of the Apes,Edgar Rice Burroughs
Otto of the Silver Hand,Howard Pyle
The Curse of Capistrano,Johnston McCulley
The Story of Doctor Dolittle,Hugh Lofting
Γοργίας,Πλάτων
The Amateur Cracksman,E. W. Hornung
The Last of the Plainsmen,Zane Grey
Дядя Ваня,Антон Павлович Чехов
Lady Audley's secret,Mary Elizabeth Braddon
At the Earth's Core,Edgar Rice Burroughs
Washington Square,Henry James
Typee,Herman Melville
Il purgatorio,Dante Alighieri
Du contrat social,Jean-Jacques Rousseau
Night and Day,Virginia Woolf
The Old Man in the Corner,Emma Orczy
A Thief in the Night,E. W. Hornung
Stalky and Co,Rudyard Kipling
