company,price,mkt_cap,shares
3M,101.74,61.70678828,606514530
A. O. Smith,32.38,4.904416495,151464376
Abbott Laboratories,34.87,51.22933139,1469152033
AbbVie,38.06,61.55666858,1617358607
Accenture,97.84,79.53540176,812912937
Adobe Inc.,93.8,46.91965551,500209547
Advanced Micro Devices,2.85,2.26005,793000000
AES Corporation,8.22,5.416960765,658997660
Aflac,25.14,20.87640684,830406000
Agilent Technologies,36.87,12.08488289,327770081
Air Products,114.34,24.70672304,216081188
Akamai Technologies,55.57,9.783110559,176050217
Albemarle Corporation,56.12,6.30210764,112297000
Alexandria Real Estate Equities,65.64,4.78341864,72873532
Align Technology,72.69,5.82792075,80175000
Allegion,56.82,5.460254268,96097400
Alliant Energy,27.36,6.214148263,227125302
Allstate,54.37,20.38875,375000000
Alphabet Inc.,36.99,508.0887216,13735840000
Altria,32.94,64.49427399,1957931815
Amazon,29.68,280.1792,9440000000
Ameren,37.61,9.124186,242600000
American Electric Power,47.09,0.635691455,13499500
American Express,53.43,50.81193,951000000
American International Group,42.68,48.25991316,1130738359
American Tower,80.9,34.3471471,424563005
American Water Works,57.13,10.36384544,181408112
Ameriprise Financial,76.73,12.96512979,168970804
Ametek,46.87,11.03967576,235538207
Amgen,112.22,84.310886,751300000
Amphenol,13.14,16.19048133,1232152308
Analog Devices,49.12,15.22813927,310019122
APA Corporation,38.42,14.524073,378034175
Apollo Global Management,11.37,2.085271542,183401191
Apple Inc.,24.71,541.4896026,21913784000
Applied Materials,18.96,21.43853802,1130724579
Aptiv,59.22,16.20470325,273635651
Arch Capital Group,22.54,8.254926329,366234531
Archer Daniels Midland,27.19,15.96053,587000000
Arista Networks,3.94,4.32177024,1096896000
Arthur J. Gallagher & Co.,37.92,6.715632,177100000
Assurant,63.67,3.98850827,62643447
AT&T,16.62,107.9473275,6495025720
Atmos Energy,58.97,6.02729451,102209505
Autodesk,58.31,13.084764,224400000
Automatic Data Processing,73.18,33.377398,456100000
AutoZone,796.69,23.78828067,29858892
AvalonBay Communities,138.63,19.01478289,137162107
Avery Dennison,60.41,5.434948576,89967697
Axon Enterprise,19.63,1.047380557,53356116
Ball Corporation,32.17,9.117845175,283426956
Bank of America,10.96,113.0267564,10312660252
Baxter International,35.07,19.18391074,547017700
Becton Dickinson,128.72,27.99750799,217507054
Berkshire Hathaway,7.75,0.1117255345,14416198
Best Buy,23.32,7.55568,324000000
Bio-Techne,22.21,3.304517604,148785124
Biogen,260.32,56.905952,218600000
BlackRock,268.69,43.95425041,163587221
"Block, Inc.",15.28,5.122932338,335270441
BNY Mellon,28.66,30.86918823,1077082632
Boeing,114.84,76.94092018,669983631
Booking Holdings,1270.66,64.42448616,50701593
Boston Scientific,18.81,25.47941445,1354567488
Bristol Myers Squibb,46.15,77.03853065,1669307273
Broadcom,12.04,46.956,3900000000
Broadridge Financial Solutions,50.43,5.925525,117500000
Brown & Brown,16.44,4.60888824,280346000
Builders FirstSource,11.27,1.24098478,110114000
Bunge Global,42.25,5.902489944,139703904
"BXP, Inc.",86.68,13.31447845,153604966
C.H. Robinson,59.23,8.47172613,143031000
Cadence Design Systems,23.58,7.29546336,309392000
Camden Property Trust,58.13,5.05731,87000000
Capital One,58.29,29.98899507,514479243
Cardinal Health,62.12,20.45791344,329328935
CarMax,51.1,9.904670485,193829168
Carnival,46.35,26.05504712,562136939
Caterpillar Inc.,60.69,35.43499419,583868746
Cboe Global Markets,57.31,4.673670789,81550703
CBRE Group,28.82,9.663130225,335292513
CDW Corporation,37.01,6.125155,165500000
Cencora,64.7,14.49288256,224001276
Centene Corporation,30.79,10.49627676,340898888
CenterPoint Energy,15.24,6.562571076,430614900
CF Industries,23.86,5.561349786,233082556
Charles River Laboratories,75.94,3.57783716,47114000
Charles Schwab Corporation,24.78,36.87264,1488000000
Charter Communications,202.43,22.76691667,112468096
Chevron Corporation,62.98,118.6985563,1884702387
Chipotle Mexican Grill,9.42,16.85709,1789500000
Chubb Limited,99.77,46.32156679,464283520
Church & Dwight,40.6,10.53368786,259450440
Cigna,125.43,32.08076826,255766310
Cincinnati Financial,50.72,8.338368,164400000
Cintas,20.3,8.688659921,428012804
Cisco,21.08,106.0771156,5032121234
Citigroup,31.19,91.54043975,2934929136
Clorox,95.51,12.34912333,129296653
CME Group,67.12,22.63413928,337219000
CMS Energy,31.61,8.825512,279200000
Coca-Cola Company (The),34.13,147.7657592,4329497778
Cognizant,55.57,33.686534,606200000
Colgate-Palmolive,56.22,50.20545459,893017691
Comcast,24.22,117.5733545,4854391186
Conagra Brands,24.15,10.53942022,436414916
ConocoPhillips,29.81,36.91632291,1238387216
Consolidated Edison,53.91,11.84736942,219762000
Constellation Brands,130.63,25.0117436,191470134
Cooper Companies (The),38.43,7.438668824,193564112
Copart,5.1,4.569639086,896007664
Corning Inc.,16.12,19.06970974,1182984475
CoStar Group,18.82,6.1181938,325090000
Costco,133.07,58.42239477,439035055
Crown Castle,58.43,19.72361432,337559718
CSX Corporation,7.46,21.3923053,2867601246
Cummins,84.7,14.76497151,174320797
CVS Health,77.31,83.57211,1081000000
Danaher Corporation,61.13,42.00575587,687154521
Darden Restaurants,50.1,6.348958021,126725709
DaVita,73.38,15.1451019,206392776
Deckers Brands,9.98,1.9173576,192120000
Deere & Company,65.96,20.79888805,315325774
Delta Air Lines,43.18,33.31688658,771581440
Devon Energy,19.42,10.17608,524000000
Dexcom,16.98,5.664528,333600000
Diamondback Energy,59.64,4.276053333,71697742
Digital Realty,1.19,0.07887868114,66284606
